วันที่,เลขชนิด,ชนิดรถ,เลขประเภท,ประเภทรถ,ความเร็วเฉลี่ย่,ส่วนเบี่ยงเบนมาตรฐานความเร็ว
2019-04-03,5,บรรทุกส่วนบุคคล,19,ลากจูง,39.0,17.66
2019-04-03,6,รถบรรทุกไม่ประจำทาง,11,กระบะบรรทุก,36.0,17.76
2019-04-03,6,รถบรรทุกไม่ประจำทาง,12,ตู้บรรทุก,45.0,17.27
2019-04-03,6,รถบรรทุกไม่ประจำทาง,13,บรรทุกของเหลว,41.0,17.66
2019-04-03,6,รถบรรทุกไม่ประจำทาง,14,บรรทุกวัตถุอันตราย,44.0,17.08
2019-04-03,6,รถบรรทุกไม่ประจำทาง,15,บรรทุกเฉพาะกิจ,33.0,15.98
2019-04-03,6,รถบรรทุกไม่ประจำทาง,19,ลากจูง,41.0,17.73
2019-04-03,6,รถบรรทุกไม่ประจำทาง,99,ไม่สามารถระบุได้,25.0,16.1
2019-04-03,7,รถบรรทุกไม่ประจำทาง,11,กระบะบรรทุก,40.0,17.36
2019-04-03,7,รถบรรทุกไม่ประจำทาง,12,ตู้บรรทุก,44.0,18.49
2019-04-03,7,รถบรรทุกไม่ประจำทาง,13,บรรทุกของเหลว,40.0,16.73
2019-04-03,7,รถบรรทุกไม่ประจำทาง,14,บรรทุกวัตถุอันตราย,44.0,17.96
2019-04-03,7,รถบรรทุกไม่ประจำทาง,15,บรรทุกเฉพาะกิจ,30.0,16.02
2019-04-03,7,รถบรรทุกไม่ประจำทาง,19,ลากจูง,41.0,17.66
2019-04-03,7,รถบรรทุกไม่ประจำทาง,99,ไม่สามารถระบุได้,37.0,22.25
2019-04-03,8,รถบรรทุกส่วนบุคคล,11,กระบะบรรทุก,34.0,16.93
2019-04-03,8,รถบรรทุกส่วนบุคคล,12,ตู้บรรทุก,43.0,18.02
2019-04-03,8,รถบรรทุกส่วนบุคคล,13,บรรทุกของเหลว,24.0,12.98
2019-04-03,8,รถบรรทุกส่วนบุคคล,14,บรรทุกวัตถุอันตราย,39.0,16.61
2019-04-03,8,รถบรรทุกส่วนบุคคล,15,บรรทุกเฉพาะกิจ,31.0,18.0
2019-04-03,8,รถบรรทุกส่วนบุคคล,19,ลากจูง,40.0,17.84
2019-04-03,8,รถบรรทุกส่วนบุคคล,99,ไม่สามารถระบุได้,37.0,14.38
2019-04-03,8,รถบรรทุกส่วนบุคคล,No,,40.0,22.59
2019-04-03,9,รถบรรทุกส่วนบุคคล,11,กระบะบรรทุก,30.0,16.15
2019-04-03,9,รถบรรทุกส่วนบุคคล,12,ตู้บรรทุก,41.0,17.54
2019-04-03,9,รถบรรทุกส่วนบุคคล,13,บรรทุกของเหลว,23.0,14.12
2019-04-03,9,รถบรรทุกส่วนบุคคล,14,บรรทุกวัตถุอันตราย,37.0,16.25
2019-04-03,9,รถบรรทุกส่วนบุคคล,15,บรรทุกเฉพาะกิจ,29.0,15.84
2019-04-03,9,รถบรรทุกส่วนบุคคล,19,ลากจูง,34.0,16.36
2019-04-04,0,,0,,42.0,20.84
2019-04-04,1,รถโดยสารประจำทาง,01,รถโดยสารปรับอากาศพิเศษ,58.0,24.52
2019-04-04,1,รถโดยสารประจำทาง,02,รถโดยสารปรับอากาศชั้น2,45.0,23.8
2019-04-04,1,รถโดยสารประจำทาง,03,รถโดยสารธรรมดา,26.0,16.56
2019-04-04,1,รถโดยสารประจำทาง,04,รถโดยสาร 2 ชั้นปรับอากาศพิเศษ,62.0,24.28
2019-04-04,1,รถโดยสารประจำทาง,96,รถโดยสารระหว่างประเทศ,40.0,30.45
2019-04-04,1,รถโดยสารประจำทาง,99,ไม่สามารถระบุได้,34.0,21.83
2019-04-04,3,รถโดยสารไม่ประจำทาง,01,รถโดยสารปรับอากาศพิเศษ,34.0,20.29
2019-04-04,3,รถโดยสารไม่ประจำทาง,02,รถโดยสารปรับอากาศชั้น2,37.0,20.97
2019-04-04,3,รถโดยสารไม่ประจำทาง,03,รถโดยสารธรรมดา,38.0,19.7
2019-04-04,3,รถโดยสารไม่ประจำทาง,04,รถโดยสาร 2 ชั้นปรับอากาศพิเศษ,38.0,20.52
2019-04-04,3,รถโดยสารไม่ประจำทาง,95,รถโดยสารพ่วง,67.0,31.78
2019-04-04,3,รถโดยสารไม่ประจำทาง,97,รถโดยสารเฉพาะกิจ,39.0,19.64
2019-04-04,3,รถโดยสารไม่ประจำทาง,99,ไม่สามารถระบุได้,24.0,19.48
2019-04-04,4,รถโดยสารส่วนบุคคล,01,รถโดยสารปรับอากาศพิเศษ,56.0,19.66
2019-04-04,4,รถโดยสารส่วนบุคคล,02,รถโดยสารปรับอากาศชั้น2,29.0,18.44
2019-04-04,4,รถโดยสารส่วนบุคคล,03,รถโดยสารธรรมดา,29.0,19.75
2019-04-04,4,รถโดยสารส่วนบุคคล,04,รถโดยสาร 2 ชั้นปรับอากาศพิเศษ,33.0,16.45
2019-04-04,4,รถโดยสารส่วนบุคคล,97,รถโดยสารเฉพาะกิจ,57.0,22.15
2019-04-04,5,บรรทุกส่วนบุคคล,11,กระบะบรรทุก,30.0,15.97
2019-04-04,5,บรรทุกส่วนบุคคล,12,ตู้บรรทุก,47.0,19.04
